propertiesid,property_type,property_status,availability,country,division,city,current_zones,zone,price,interior_area,gros_area,bedrooms,bathrooms,other_rooms,year_of_construction,year_of_renovation
4869,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Kopshti Botanik/Zoologjik","Kopshti Botanik/Zoologjik",170000,147,163,3,2,4,0,0
4868,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Kodra e  Diellit","Kodra e  Diellit",144000,148,172,3,2,4,0,0
4867,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Rruga Mine Peza","Rruga Mine Peza",89250,85,85,2,1,0,0,0
4861,Apartment,"Under construction",Withdrawn,Albania,Tirana,Tirana,"Ali Demi","Ali Demi",44450,64,64,1,1,0,0,0
4860,Apartment,New,Available,Albania,Tirana,Tirana,"Don Bosko","Don Bosko",82000,77,86,1,1,0,0,0
4857,Apartment,"Under construction",Withdrawn,Albania,Tirana,Tirana,"Ali Demi","Ali Demi",42000,60,60,1,1,0,0,0
4854,Apartment,"Under construction",Withdrawn,Albania,Tirana,Tirana,"Ali Demi","Ali Demi",56000,80,80,2,2,0,0,0
4853,Apartment,"Under construction",Withdrawn,Albania,Tirana,Tirana,"Ali Demi","Ali Demi",62650,90,90,2,2,0,0,0
4852,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Rruga e Kavajes","Rruga e Kavajes",220000,169,180,3,3,0,0,0
4851,Apartment,"Under construction",Withdrawn,Albania,Tirana,Tirana,"Ali Demi","Ali Demi",71890,103,103,2,2,0,0,0
4850,Apartment,"Under construction",Withdrawn,Albania,Tirana,Tirana,"Ali Demi","Ali Demi",78190,112,112,3,2,0,0,0
4846,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Rr. e  Elbasanit","Rr. e  Elbasanit",50000,40,40,1,1,1,0,0
4845,Apartment,Used,Sold,Albania,Tirana,Tirana,"Rr. e  Elbasanit","Rr. e  Elbasanit",84900,83,83,1,1,0,0,0
4844,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Yzberisht,Yzberisht,46500,58,60,1,1,0,0,0
4839,Apartment,Used,Available,Albania,Tirana,Tirana,"Pazari I ri","Pazari I ri",118000,92,102,2,2,0,0,0
4836,Apartment,Used,Available,Albania,Tirana,Tirana,"Blv.Bajram Curri","Blv.Bajram Curri",68000,60,0,0,1,1,0,0
4833,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Ali Demi","Ali Demi",69836,103,103,2,2,0,0,0
4832,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Ali Demi","Ali Demi",83440,119,119,2,2,0,0,0
4830,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,,,109000,109,109,2,2,0,0,0
4827,Apartment,Used,Available,Albania,Tirana,Tirana,"Blloku |##| Petronini |##| Sheshi Willson |##| Stadiumi Dinamo",Blloku,163000,125,132,3,2,4,0,0
4824,Apartment,New,Available,Albania,Tirana,Tirana,"Rruga 5 Maji","Rruga 5 Maji",65000,81,91,2,1,0,0,0
4823,Apartment,New,Withdrawn,Albania,Tirana,Tirana,,,76000,88,86,2,1,0,0,0
4818,Apartment,Used,Available,Albania,Tirana,Tirana,"Varri I Bamit","Varri I Bamit",42000,52,52,0,1,1,0,0
4815,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Astiri,Astiri,65000,92,101,2,2,0,0,0
4814,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,,,95000,94,106,2,2,3,0,0
4812,Apartment,Used,Available,Albania,Tirana,Tirana,,,31000,52,52,0,1,1,0,0
4811,Apartment,New,Available,Albania,Tirana,Tirana,"21 dhjetori","21 dhjetori",93000,116,133,2,2,0,0,0
4810,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,,,77000,104,111,2,2,3,0,0
4807,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Medreseja,Medreseja,50000,56,56,1,1,0,0,0
4805,Apartment,Used,Available,Albania,Tirana,Tirana,"Stacioni I trenit","Stacioni I trenit",118000,95,107,2,2,0,0,0
4800,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Kopshti Botanik/Zoologjik","Kopshti Botanik/Zoologjik",86000,84,95,2,2,3,0,0
4798,Apartment,New,Available,Albania,Tirana,Tirana,"Plazh, Durres","Plazh, Durres",75500,72,79,2,1,0,0,0
