propertiesid,property_type,property_status,availability,country,division,city,current_zones,zone,price,interior_area,gros_area,bedrooms,bathrooms,other_rooms,year_of_construction,year_of_renovation,closed_price
55089,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Vilat Gjermane","Vilat Gjermane",115000,0,103,2,2,NULL,NULL,NULL,109500
55027,Apartment,Used,Sold,Albania,Tirana,Tirana,"Ish Parku Autobuzave","Ish Parku Autobuzave",87000,0,104,2,2,NULL,NULL,NULL,NULL
55014,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Selvia,Selvia,81000,0,81,2,1,NULL,NULL,NULL,NULL
54974,Apartment,Used,"In evaluation",Albania,Tirana,Tirana,"Misto Mame","Misto Mame",61000,0,101,2,1,NULL,NULL,NULL,NULL
54971,Apartment,Used,Available,Albania,Tirana,Tirana,Kombinat,Kombinat,60000,0,67,2,1,NULL,NULL,NULL,NULL
54949,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Fresku,Fresku,61000,0,103,2,2,NULL,NULL,NULL,NULL
54897,Apartment,New,Sold,Albania,Tirana,Tirana,Fresku,Fresku,53000,0,104,2,2,NULL,NULL,NULL,NULL
54872,Apartment,New,Sold,Albania,Tirana,Tirana,Fresku,Fresku,52000,0,104,2,1,NULL,NULL,NULL,NULL
54823,Apartment,New,Available,Albania,Tirana,Tirana,"Rruga e Kavajes","Rruga e Kavajes",260000,0,159,3,2,NULL,NULL,NULL,NULL
54810,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Lulishtja 1 Maji","Lulishtja 1 Maji",66000,0,58,1,1,NULL,NULL,NULL,NULL
54807,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Yzberisht,Yzberisht,88000,0,208,2,2,NULL,NULL,NULL,NULL
54757,Apartment,New,Sold,Albania,Tirana,Tirana,Laprake,Laprake,54000,0,60,1,1,NULL,NULL,NULL,NULL
54693,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Kopshti Botanik","Kopshti Botanik",109000,0,109,2,1,NULL,NULL,NULL,NULL
54641,Apartment,Used,Sold,Albania,Tirana,Tirana,"Zogu I Zi","Zogu I Zi",145000,0,133,3,2,NULL,NULL,NULL,NULL
54626,Apartment,Used,Available,Albania,Tirana,Tirana,Medreseja,Medreseja,62000,0,76,2,1,NULL,NULL,NULL,NULL
54518,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Fresku,Fresku,55000,0,95,2,1,NULL,NULL,NULL,NULL
54504,Apartment,Used,Available,Albania,Tirana,Tirana,"Fusha e Aviacionit","Fusha e Aviacionit",90000,0,85,2,1,NULL,NULL,NULL,NULL
54497,Apartment,Used,Sold,Albania,Tirana,Tirana,"Rruga e Kosovareve","Rruga e Kosovareve",87000,0,66,1,1,NULL,NULL,NULL,NULL
54466,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Kopshti Zoologjik","Kopshti Zoologjik",69000,0,70,1,1,NULL,NULL,NULL,NULL
54454,Apartment,New,Sold,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",57525,0,89,2,1,NULL,NULL,NULL,NULL
54448,Apartment,New,Sold,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",50250,0,75,1,1,NULL,NULL,NULL,NULL
54441,Apartment,New,Sold,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",43420,0,67,1,1,NULL,NULL,NULL,NULL
54424,Apartment,New,Sold,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",39780,0,66,1,1,NULL,NULL,NULL,NULL
54422,Apartment,New,Sold,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",37980,0,63,1,1,NULL,NULL,NULL,NULL
54408,Apartment,Used,Available,Albania,Tirana,Tirana,"Liqeni i Thate","Liqeni i Thate",187000,0,123,2,1,NULL,NULL,NULL,NULL
54400,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Rruga e Dibres","Rruga e Dibres",100928,0,121,2,2,NULL,NULL,NULL,NULL
54396,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Rruga e Dibres","Rruga e Dibres",102588,0,123,2,2,NULL,NULL,NULL,NULL
54394,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Liqeni i Thate","Liqeni i Thate",100000,0,97,2,1,NULL,NULL,NULL,NULL
